name,price,description,image,category,subcategory,brand,stock,sku,weight,tags,features
iPhone 15 Pro,82999,"Latest iPhone with A17 Pro chip, titanium design, and advanced camera system","https://picsum.photos/seed/iphone15pro/300/300.jpg",Electronics,Smartphones,Apple,50,IP15PRO-001,0.2,"premium,smartphone,5G","A17 Pro chip,48MP camera,Titanium build"
Samsung Galaxy S24,74999,"Flagship Android phone with stunning display and powerful performance","https://picsum.photos/seed/galaxys24/300/300.jpg",Electronics,Smartphones,Samsung,45,SGS24-002,0.21,"android,flagship,5G","6.8\" AMOLED,5000mAh battery,50MP zoom"
MacBook Pro M3,199999,"Professional laptop with M3 chip, perfect for creative work","https://picsum.photos/seed/macbookpro/300/300.jpg",Electronics,Laptops,Apple,30,MBP-M3-003,1.4,"laptop,professional,apple","14\" Liquid Retina,18GB RAM,1TB SSD"
Dell XPS 15,149999,"High-performance Windows laptop with stunning 4K display","https://picsum.photos/seed/dellxps15/300/300.jpg",Electronics,Laptops,Dell,25,XPS15-004,2.1,"laptop,windows,4K","15.6\" 4K OLED,Intel i7,32GB RAM"
Sony WH-1000XM5,32999,"Industry leading noise cancelling headphones with exceptional sound","https://picsum.photos/seed/sonyheadphones/300/300.jpg",Electronics,Audio,Sony,60,WH1000XM5-005,0.25,"headphones,noise-cancelling,premium","30hr battery,Hi-Res Audio,Multi-point"
iPad Air 5,49999,"Versatile tablet with M1 chip for work and play","https://picsum.photos/seed/ipadair/300/300.jpg",Electronics,Tablets,Apple,40,IPAD-AIR-006,0.46,"tablet,apple,m1","10.9\" display,64GB,Touch ID"
Samsung 65" QLED TV,109999,"Stunning 4K QLED TV with smart features","https://picsum.photos/seed/qledtv/300/300.jpg",Electronics,TVs,Samsung,15,QLED65-007,25.5,"tv,4k,smart","4K QLED,Smart TV,HDR10+"
Canon EOS R6,209999,"Full-frame mirrorless camera with advanced autofocus","https://picsum.photos/seed/canoncamera/300/300.jpg",Electronics,Cameras,Canon,12,EOSR6-008,0.68,"camera,mirrorless,professional","20MP full-frame,4K video,Dual AF"
Nintendo Switch,24999,"Hybrid gaming console for home and portable play","https://picsum.photos/seed/nintendoswitch/300/300.jpg",Electronics,Gaming,Nintendo,35,SWITCH-009,0.4,"gaming,portable,console","Hybrid console,Joy-Con controllers,32GB storage"
Apple Watch Series 9,34999,"Advanced smartwatch with health and fitness tracking","https://picsum.photos/seed/applewatch/300/300.jpg",Electronics,Wearables,Apple,55,AW9-010,0.12,"smartwatch,fitness,apple","Always-On display,Blood oxygen sensor,Water resistant"
Nike Air Max 90,10999,"Classic sneakers with iconic design and superior comfort","https://picsum.photos/seed/nikeairmax/300/300.jpg",Clothing,Footwear,Nike,80,AIRMAX90-007,0.32,"shoes,sneakers,classic","Air Max cushioning,Leather upper,Rubber outsole"
Levi's 501 Jeans,6999,"Original straight fit jeans, timeless American style","https://picsum.photos/seed/levis501/300/300.jpg",Clothing,Jeans,Levi's,120,501-008,0.5,"jeans,casual,classic","100% cotton,Straight fit,Button fly"
Adidas Ultraboost 22,15999,"Premium running shoes with responsive cushioning","https://picsum.photos/seed/ultraboost/300/300.jpg",Clothing,Footwear,Adidas,65,ULTRA22-009,0.31,"running,shoes,performance","Boost midsole,Primeknit upper,Continental rubber"
H&M Cotton T-Shirt,1499,"Essential crew neck t-shirt in various colors","https://picsum.photos/seed/hmtshirt/300/300.jpg",Clothing,Tops,H&M,200,TSHIRT-010,0.15,"t-shirt,casual,basic","100% cotton,Regular fit,Crew neck"
Zara Blazer,7499,"Elegant blazer perfect for business and casual occasions","https://picsum.photos/seed/zarablazer/300/300.jpg",Clothing,Jackets,Zara,45,BLAZER-011,0.4,"blazer,formal,versatile","Polyester blend,Notch lapel,Two pockets"
North Face Jacket,20999,"Waterproof jacket for outdoor adventures","https://picsum.photos/seed/northfacejacket/300/300.jpg",Clothing,Jackets,North Face,35,NFJ-012,0.68,"jacket,outdoor,waterproof","Gore-Tex fabric,Hood included,Adjustable cuffs"
Puma Sweatpants,4499,"Comfortable fleece sweatpants for lounging","https://picsum.photos/seed/pumasweatpants/300/300.jpg",Clothing,Bottoms,Puma,90,SWEAT-013,0.35,"pants,comfortable,casual","Fleece lining,Elastic waistband,Side pockets"
Under Armour Sports Bra,3499,"High-support sports bra for intense workouts","https://picsum.photos/seed/sportsbra/300/300.jpg",Clothing,Activewear,Under Armour,75,BRA-014,0.12,"sports,activewear,support","Moisture-wicking,High support,Breathable mesh"
Gap Hoodie,5299,"Classic pullover hoodie with kangaroo pocket","https://picsum.photos/seed/gaphoodie/300/300.jpg",Clothing,Tops,Gap,110,HOODIE-015,0.45,"hoodie,casual,comfortable","Cotton blend,Kangaroo pocket,Ribbed cuffs"
Converse Chuck Taylor,5299,"Iconic canvas sneakers with timeless style","https://picsum.photos/seed/conversechucks/300/300.jpg",Clothing,Footwear,Converse,95,CHUCK-016,0.28,"shoes,canvas,classic","Canvas upper,Rubber sole,High-top design"
Fresh Organic Apples,299,"Crisp and sweet organic apples, perfect for snacking","https://picsum.photos/seed/organicapples/300/300.jpg",Grocery,Fruits,Local Farm,100,APPLES-017,0.2,"fruit,organic,fresh","Hand-picked,No pesticides,Locally grown"
Whole Milk,89,"Farm-fresh whole milk from grass-fed cows","https://picsum.photos/seed/wholemilk/300/300.jpg",Grocery,Dairy,Local Farm,150,MILK-018,1.0,"dairy,fresh,natural","Pasteurized,3.25% fat,Vitamin D"
Organic Eggs,449,"Free-range organic eggs from happy chickens","https://picsum.photos/seed/organiceggs/300/300.jpg",Grocery,Dairy,Happy Chickens,80,EGGS-019,0.6,"eggs,organic,protein","12 eggs per carton,Free-range,No hormones"
Whole Wheat Bread,199,"Nutritious whole wheat bread for healthy meals","https://picsum.photos/seed/wholewheatbread/300/300.jpg",Grocery,Bakery,Local Bakery,90,BREAD-020,0.5,"bread,healthy,whole-grain","100% whole wheat,No preservatives,Fresh daily"
Bananas,149,"Sweet and creamy bananas, rich in potassium","https://picsum.photos/seed/bananas/300/300.jpg",Grocery,Fruits,Tropical Imports,120,BANANAS-021,0.25,"fruit,tropical,healthy","Fair trade,Ripe and ready,High in potassium"
Organic Tomatoes,399,"Vine-ripened organic tomatoes, perfect for salads","https://picsum.photos/seed/organictomatoes/300/300.jpg",Grocery,Vegetables,Green Valley,70,TOMATOES-022,0.15,"vegetables,organic,fresh","Pesticide-free,Vine-ripened,Local farm"
Chicken Breast,699,"Premium boneless chicken breast, high in protein","https://picsum.photos/seed/chickenbreast/300/300.jpg",Grocery,Meat,Local Butcher,60,CHICKEN-023,0.5,"meat,protein,fresh","Hormone-free,Boneless,Lean cuts"
Greek Yogurt,349,"Creamy Greek yogurt, high in protein","https://picsum.photos/seed/greekyogurt/300/300.jpg",Grocery,Dairy,Dairy Fresh,85,YOGURT-024,0.32,"dairy,protein,healthy","10% fat,Live cultures,No artificial flavors"
Avocados,699,"Ripe avocados perfect for toast and salads","https://picsum.photos/seed/avocados/300/300.jpg",Grocery,Fruits,Tropical Imports,65,AVO-025,0.18,"fruit,healthy,avocado","Ripe when delivered,Rich in healthy fats,Perfect ripeness"
Orange Juice,349,"Fresh squeezed orange juice, not from concentrate","https://picsum.photos/seed/orangejuice/300/300.jpg",Grocery,Beverages,Citrus Grove,95,OJ-026,1.0,"juice,fresh,vitamin","100% orange juice,No added sugar,Vitamin C rich"
The Great Gatsby,999,"Classic American novel about the Jazz Age","https://picsum.photos/seed/greatgatsby/300/300.jpg",Books,Fiction,F. Scott Fitzgerald,85,GATSBY-027,0.3,"classic,literature,american","Hardcover,208 pages,Penguin Classics"
1984,1099,"Dystopian masterpiece about totalitarian surveillance","https://picsum.photos/seed/1984book/300/300.jpg",Books,Fiction,George Orwell,95,NINETEEN84-028,0.35,"classic,dystopian,literature","Paperback,328 pages,Signet Classics"
Atomic Habits,1299,"Guide to building good habits and breaking bad ones","https://picsum.photos/seed/atomichabits/300/300.jpg",Books,Self-Help,James Clear,120,ATOMIC-029,0.4,"self-help,productivity,habits","Hardcover,320 pages,New York Times Bestseller"
The Lean Startup,1499,"Essential guide for entrepreneurs and startups","https://picsum.photos/seed/leanstartup/300/300.jpg",Books,Business,Eric Ries,75,LEAN-030,0.45,"business,startup,entrepreneur","Paperback,336 pages,Entrepreneur's must-read"
JavaScript Guide,2499,"Comprehensive guide to modern JavaScript development","https://picsum.photos/seed/javascriptguide/300/300.jpg",Books,Programming,Various Authors,50,JS-GUIDE-031,0.6,"programming,javascript,technical","Paperback,512 pages,Code examples included"
To Kill a Mockingbird,1199,"Powerful story about racial injustice in the American South","https://picsum.photos/seed/tokillamockingbird/300/300.jpg",Books,Fiction,Harper Lee,88,MOCKINGBIRD-032,0.32,"classic,fiction,american","Paperback,376 pages,Penguin Classics"
Rich Dad Poor Dad,1399,"Financial education book about wealth building","https://picsum.photos/seed/richdaddoordad/300/300.jpg",Books,Finance,Robert Kiyosaki,92,RICHDAD-033,0.38,"finance,wealth,education","Paperback,266 pages,International bestseller"
The Psychology of Money,1599,"Understanding the relationship between psychology and wealth","https://picsum.photos/seed/psychologyofmoney/300/300.jpg",Books,Finance,Morgan Housel,78,PSYCHMONEY-034,0.42,"finance,psychology,money","Hardcover,256 pages,Wall Street Journal Bestseller"
Clean Code,2799,"Handbook of agile software craftsmanship","https://picsum.photos/seed/cleancode/300/300.jpg",Books,Programming,Robert C. Martin,45,CLEANCODE-035,0.55,"programming,software,development","Paperback,464 pages,Developer essential"
Sapiens,1599,"Brief history of humankind from Stone Age to modern times","https://picsum.photos/seed/sapiens/300/300.jpg",Books,History,Yuval Noah Harari,105,SAPIENS-036,0.48,"history,humanity,non-fiction","Paperback,443 pages,Global bestseller"
Yoga Mat,2499,"Non-slip exercise mat for yoga and fitness","https://picsum.photos/seed/yogamat/300/300.jpg",Sports,Fitness,YogaPro,100,YOGA-MAT-037,1.2,"yoga,fitness,exercise","Non-slip surface,6mm thick,Eco-friendly material"
Dumbbells Set,7499,"Adjustable dumbbell set for home workouts","https://picsum.photos/seed/dumbbells/300/300.jpg",Sports,Fitness,FitGear,40,DUMBBELL-038,8.5,"fitness,weights,exercise","Adjustable 5-50lbs,Rubber coating,Compact storage"
Running Shoes,6999,"Lightweight running shoes with responsive cushioning","https://picsum.photos/seed/runningshoes/300/300.jpg",Sports,Running,Nike,55,RUN-SHOES-039,0.28,"running,shoes,athletic","Breathable mesh,Responsive foam,Durable outsole"
Tennis Racket,12499,"Professional grade tennis racket for competitive play","https://picsum.photos/seed/tennisracket/300/300.jpg",Sports,Tennis,Wilson,30,TENNIS-040,0.32,"tennis,racket,sports","Graphite frame,16x19 string pattern,4 1/2 grip size"
Basketball,2499,"Official size basketball for indoor and outdoor play","https://picsum.photos/seed/basketball/300/300.jpg",Sports,Basketball,Spalding,80,BASKETBALL-041,0.62,"basketball,sports,indoor","Official NBA size,Rubber cover,Indoor/outdoor use"
Soccer Ball,2099,"Professional match soccer ball with excellent grip","https://picsum.photos/seed/soccerball/300/300.jpg",Sports,Soccer,Adidas,65,SOCCER-042,0.45,"soccer,ball,sports","Size 5,Thermally bonded,Water-resistant"
Resistance Bands Set,1699,"5-level resistance bands for full body workouts","https://picsum.photos/seed/resistancebands/300/300.jpg",Sports,Fitness,FitLife,120,BANDS-043,0.15,"fitness,resistance,exercise","5 resistance levels,Portable,Door anchor included"
Golf Clubs Set,49999,"Complete set of golf clubs for all skill levels","https://picsum.photos/seed/golfclubs/300/300.jpg",Sports,Golf,Callaway,15,GOLF-044,8.2,"golf,clubs,sports","12 clubs,Graphite shafts,Stand bag included"
Swimming Goggles,1399,"Anti-fog swimming goggles with UV protection","https://picsum.photos/seed/swimminggoggles/300/300.jpg",Sports,Swimming,Speedo,90,GOGGLES-045,0.08,"swimming,goggles,water","Anti-fog coating,UV protection,Silicone strap"
Jump Rope,1099,"Speed jump rope for cardio workouts","https://picsum.photos/seed/jumprope/300/300.jpg",Sports,Fitness,FitGear,140,JUMPROPE-046,0.25,"fitness,cardio,exercise","Adjustable length,Ball bearing handles,Non-slip grip"
Coffee Maker,7499,"Programmable coffee maker with thermal carafe","https://picsum.photos/seed/coffeemaker/300/300.jpg",Home,Kitchen,Black+Decker,60,COFFEE-047,2.1,"kitchen,appliance,coffee","12-cup capacity,Programmable,Thermal carafe"
Blender,4199,"High-speed blender for smoothies and food prep","https://picsum.photos/seed/blender/300/300.jpg",Home,Kitchen,Ninja,70,BLENDER-048,1.8,"kitchen,appliance,blender","1000W motor,72oz pitcher,Dishwasher safe"
Vacuum Cleaner,16999,"Powerful cordless vacuum with HEPA filtration","https://picsum.photos/seed/vacuumcleaner/300/300.jpg",Home,Cleaning,Dyson,45,VACUUM-049,3.2,"cleaning,home,appliance","Cordless,60min battery,HEPA filter"
Desk Lamp,2999,"Modern LED desk lamp with adjustable brightness","https://picsum.photos/seed/desklamp/300/300.jpg",Home,Furniture,Simple Designs,85,DESK-LAMP-050,0.8,"lighting,home,office","LED technology,Adjustable arm,Touch control"
Throw Pillows Set,3499,"Set of 2 decorative throw pillows for couch","https://picsum.photos/seed/throwpillows/300/300.jpg",Home,Decor,Home Essentials,90,PILLOWS-051,0.6,"decor,home,cushions","Machine washable,Hidden zipper,Soft fill"
Wall Clock,2099,"Silent wall clock with modern minimalist design","https://picsum.photos/seed/wallclock/300/300.jpg",Home,Decor,TimeKeeper,110,CLOCK-052,0.45,"decor,home,timekeeping","Silent movement,12\" diameter,Battery operated"
Kitchen Knife Set,6999,"Professional 6-piece stainless steel knife set","https://picsum.photos/seed/kitchenknives/300/300.jpg",Home,Kitchen,Chef's Choice,55,KNIVES-053,1.5,"kitchen,cooking,tools","High-carbon steel,Ergonomic handles,Wood block"
Air Purifier,12999,"HEPA air purifier for clean indoor air","https://picsum.photos/seed/airpurifier/300/300.jpg",Home,Appliances,PureAir,35,PURIFIER-054,2.8,"air,purifier,health","HEPA filter,350 sq ft coverage,Quiet operation"
Bed Sheets Set,5299,"Luxury cotton bed sheets, queen size","https://picsum.photos/seed/bedsheets/300/300.jpg",Home,Bedding,Comfort Living,75,SHEETS-055,1.2,"bedding,cotton,comfort","100% Egyptian cotton,400 thread count,Deep pockets"
Storage Ottoman,7999,"Versatile storage ottoman with hidden compartment","https://picsum.photos/seed/storageottoman/300/300.jpg",Home,Furniture,Storage Solutions,40,OTTOMAN-056,4.5,"furniture,storage,versatile","Hidden storage,Upholstered top,Sturdy construction"
Wireless Mouse,2499,"Ergonomic wireless mouse with precision tracking","https://picsum.photos/seed/wirelessmouse/300/300.jpg",Other,Accessories,Logitech,150,MOUSE-057,0.15,"computer,accessories,wireless","2.4GHz connection,AA batteries,6-month battery"
USB-C Hub,3499,"7-in-1 USB-C hub with multiple connectivity options","https://picsum.photos/seed/usbchub/300/300.jpg",Other,Accessories,Anker,120,HUB-058,0.08,"computer,accessories,connectivity","4K HDMI,SD card reader,100W power delivery"
Power Bank,4199,"20000mAh portable charger with fast charging","https://picsum.photos/seed/powerbank/300/300.jpg",Other,Accessories,Xiaomi,95,BANK-059,0.43,"mobile,accessories,power","20000mAh capacity,USB-C output,LED indicator"
Bluetooth Speaker,6999,"Portable waterproof speaker with 360° sound","https://picsum.photos/seed/bluetoothspeaker/300/300.jpg",Other,Audio,JBL,110,SPEAKER-060,0.65,"audio,portable,bluetooth","IPX7 waterproof,12hr battery,Party mode"
Laptop Stand,2999,"Adjustable aluminum laptop stand for better ergonomics","https://picsum.photos/seed/laptopstand/300/300.jpg",Other,Accessories,Rainbow Design,80,STAND-061,0.85,"computer,accessories,ergonomic","Aluminum build,Adjustable height,Heat dissipation"
Smart Watch,16999,"Fitness tracker with heart rate monitor and GPS","https://picsum.photos/seed/smartwatch/300/300.jpg",Other,Wearables,Fitbit,70,WATCH-062,0.12,"fitness,wearables,smart","Heart rate monitor,GPS tracking,7-day battery"
Desk Organizer,2099,"Bamboo desk organizer for better workspace management","https://picsum.photos/seed/deskorganizer/300/300.jpg",Other,Office,EcoDesk,130,ORGANIZER-063,0.95,"office,organization,desk","Bamboo material,5 compartments,Phone holder"
Phone Case,1699,"Protective clear case with shock absorption","https://picsum.photos/seed/phonecase/300/300.jpg",Other,Accessories,Spigen,200,CASE-064,0.05,"mobile,protection,accessories","Clear design,Shock proof,Wireless charging compatible"
HDMI Cable,1299,"High-speed 4K HDMI cable 6 feet long","https://picsum.photos/seed/hdmicable/300/300.jpg",Other,Accessories,AmazonBasics,250,HDMI-065,0.12,"cables,connectivity,video","4K@60Hz support,Gold-plated connectors,6ft length"
Webcam HD,5999,"1080p HD webcam with auto-focus and noise reduction","https://picsum.photos/seed/webcam/300/300.jpg",Other,Accessories,Logitech,85,WEBCAM-066,0.18,"camera,webcam,video","1080p resolution,Auto-focus,Noise-cancelling mic"
